date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:39	198878/198878	---M--	200	added ('OK')	image/jpeg	etag:%2232311fa68806adc8f0c02914659d3f07%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/0e152a86-8c3e-4dd0-b63f-9c42e7f9e4ac_rw_1200.jpg?h=d4d3b996a52dd1b770826f7be423fd60	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf6.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/0e152a86-8c3e-4dd0-b63f-9c42e7f9e4ac_rw_12008bb9.jpg	(from https://jfsn.myportfolio.com/sdvsdvds)
09:24:39	451480/451480	---M--	200	added ('OK')	image/jpeg	etag:%2260bf03c73d127b79165173c2b4aa1d6b%22	https://pro2-bar-s3-cdn-cf1.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/9380686f-4d6b-4ace-8129-a9aeb969aa93.jpg?h=098b8f9eebe6ae5082a1cffdf2c4ae67	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf1.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/9380686f-4d6b-4ace-8129-a9aeb969aa93057c.jpg	(from https://jfsn.myportfolio.com/zzz-1)
09:24:39	419423/419423	---M--	200	added ('OK')	image/jpeg	etag:%221a2ebf1119bfeff4eebe02a12a417169%22	https://pro2-bar-s3-cdn-cf1.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/9380686f-4d6b-4ace-8129-a9aeb969aa93_rw_1200.jpg?h=8e3c4bf061aa3ae0eca0e5d8a37bbaad	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf1.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/9380686f-4d6b-4ace-8129-a9aeb969aa93_rw_12002022.jpg	(from https://jfsn.myportfolio.com/zzz-1)
09:24:40	4468060/4468060	---M--	200	added ('OK')	image/jpeg	etag:%22c75b409046e61438a3f9a23c26e121f5%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/f2141607-efe2-47d0-8b32-0412dabfcf82.JPG?h=4b3b7b1f39d6218b760b85820ecb3c71	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf4.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/f2141607-efe2-47d0-8b32-0412dabfcf82c31c.jpg	(from https://jfsn.myportfolio.com/rhinoceros)
09:24:41	1896483/1896483	---M--	200	added ('OK')	image/jpeg	etag:%22591faeeeb286dd7d0b3fb8d2f51d75a4%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/f2141607-efe2-47d0-8b32-0412dabfcf82_rw_3840.JPG?h=8d7b4c1d5be49cad4339bdf4239fbd18	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf4.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/f2141607-efe2-47d0-8b32-0412dabfcf82_rw_38409989.jpg	(from https://jfsn.myportfolio.com/rhinoceros)
09:24:41	4280185/4280185	---M--	200	added ('OK')	image/jpeg	etag:%2209686d5b0dac43c251b1200d17a4b664%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/8c6922df-1eda-4902-97a7-629e57ddf142.JPG?h=695b89a91e28e06fb6d3f900e9b75f6f	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/8c6922df-1eda-4902-97a7-629e57ddf142a740.jpg	(from https://jfsn.myportfolio.com/moose)
09:24:42	95574/95574	---M--	200	added ('OK')	image/jpeg	etag:%220a35010dff457f3487b4b3d2ab61d07c%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/31c05080-c57e-451f-8eb6-e60e1be36775.jpg?h=334649e855bcde5697fa2937b071080b	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/31c05080-c57e-451f-8eb6-e60e1be367759520.jpg	(from https://jfsn.myportfolio.com/zzz)
09:24:42	94898/94898	---M--	200	added ('OK')	image/jpeg	etag:%226c36427303065556c3c530167b40f7e2%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/31c05080-c57e-451f-8eb6-e60e1be36775_rw_1200.jpg?h=ef5686349b7165abaa63e59d3b91ec79	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/31c05080-c57e-451f-8eb6-e60e1be36775_rw_12009bf2.jpg	(from https://jfsn.myportfolio.com/zzz)
09:24:42	1638026/1638026	---M--	200	added ('OK')	image/jpeg	etag:%222558049d79b80faccfa6c3f138b044af%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/8c6922df-1eda-4902-97a7-629e57ddf142_rw_3840.JPG?h=50346df4fb94a15d330eb59fe68796c3	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/8c6922df-1eda-4902-97a7-629e57ddf142_rw_3840cd92.jpg	(from https://jfsn.myportfolio.com/moose)
09:24:42	200202/200202	---M--	200	added ('OK')	image/jpeg	etag:%226238abd4ca2a8d578502bfc9051560e2%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3513e37a-9f1e-40c3-a85b-d7db10f130d2.jpg?h=8045bee039ec42907d5eaa565befc2f8	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3513e37a-9f1e-40c3-a85b-d7db10f130d2554c.jpg	(from https://jfsn.myportfolio.com/sccssc)
09:24:43	194451/194451	---M--	200	added ('OK')	image/jpeg	etag:%221924ffaaad1594ec8694fc52b14a0413%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3513e37a-9f1e-40c3-a85b-d7db10f130d2_rw_1200.jpg?h=1b63684d864831103614e7568a4e5165	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3513e37a-9f1e-40c3-a85b-d7db10f130d2_rw_12009198.jpg	(from https://jfsn.myportfolio.com/sccssc)
09:24:43	84905/84905	---M--	200	added ('OK')	image/jpeg	etag:%2272be17943c4f761b703c5d86a7501c8c%22	https://pro2-bar-s3-cdn-cf3.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/e8611655-a612-4d37-a8ec-b74fef32000a.jpg?h=4e3f8bf64c4be33e5ae0a8d501bd2079	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf3.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/e8611655-a612-4d37-a8ec-b74fef32000a312a.jpg	(from https://jfsn.myportfolio.com/cc)
